2022-07-31 20:57:25.921 *** Start program *** Start program
2022-07-31 20:57:31.892 *** Mouse movement ***  Mouse coords: (255, 61) (62400, -33680)
2022-07-31 20:57:34.167 *** Mouse movement ***  Mouse coords: (246, 66) (99610, 22796)
2022-07-31 20:57:36.412 *** Mouse movement ***  Mouse coords: (114, 145) (45990, 59179)
2022-07-31 20:57:47.388 *** Mouse movement ***  Mouse coords: (166, 143) (68330, 58158)
2022-07-31 20:57:51.748 *** Mouse movement ***  Mouse coords: (226, 136) (93223, 54930)
2022-07-31 20:57:53.952 *** Mouse movement ***  Mouse coords: (206, 91) (83152, 34180)
2022-07-31 20:58:06.120 *** Mouse movement ***  Mouse coords: (110, 89) (-15966, -12223)
2022-07-31 20:58:09.778 *** Mouse movement ***  Mouse coords: (469, 582) (76437, 31543)
2022-07-31 20:58:09.849 *** Mouse movement ***  Mouse coords: (469, 579) (76437, 31492)
2022-07-31 20:58:09.858 *** Mouse movement ***  Mouse coords: (471, 572) (76463, 31439)
2022-07-31 20:58:09.880 *** Mouse movement ***  Mouse coords: (482, 554) (76579, 31299)
2022-07-31 20:58:09.892 *** Mouse movement ***  Mouse coords: (518, 504) (76900, 30886)
2022-07-31 20:58:09.901 *** Mouse movement ***  Mouse coords: (544, 472) (76772, 31118)
2022-07-31 20:58:09.921 *** Mouse movement ***  Mouse coords: (576, 432) (76849, 31015)
2022-07-31 20:58:09.942 *** Mouse movement ***  Mouse coords: (707, 296) (78124, 29779)
2022-07-31 20:58:09.955 *** Mouse movement ***  Mouse coords: (797, 217) (77596, 30513)
2022-07-31 20:58:09.968 *** Mouse movement ***  Mouse coords: (824, 195) (76784, 31246)
2022-07-31 20:58:09.978 *** Mouse movement ***  Mouse coords: (867, 164) (76991, 31131)
2022-07-31 20:58:10.001 *** Mouse movement ***  Mouse coords: (903, 141) (76900, 31234)
2022-07-31 20:58:10.020 *** Mouse movement ***  Mouse coords: (912, 136) (76553, 31466)
2022-07-31 20:58:10.031 *** Mouse movement ***  Mouse coords: (915, 135) (76476, 31517)
2022-07-31 20:58:10.040 *** Mouse movement ***  Mouse coords: (917, 135) (76463, 31530)
2022-07-31 20:58:10.050 *** Mouse movement ***  Mouse coords: (917, 135) (76437, 31530)
2022-07-31 20:58:10.072 *** Mouse movement ***  Mouse coords: (917, 135) (76437, 31530)
2022-07-31 20:58:10.085 *** Mouse movement ***  Mouse coords: (917, 135) (76437, 31530)
2022-07-31 20:58:10.102 *** Mouse movement ***  Mouse coords: (917, 135) (76437, 31530)
2022-07-31 20:58:22.932 *** Mouse movement ***  Mouse coords: (258, 68) (107217, 26343)
2022-07-31 20:58:25.587 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:25.935 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:26.113 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:26.273 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:27.199 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:27.370 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:27.526 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:27.692 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:29.499 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:29.649 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:29.812 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:30.622 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:30.812 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:30.971 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:31.445 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:31.625 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:31.780 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:33.606 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:33.794 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:33.966 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:35.516 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:35.679 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:35.839 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:36.011 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:37.758 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:37.934 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:38.109 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:41.283 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:41.451 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:41.613 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:41.771 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:45.329 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:45.516 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:45.672 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:45.867 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:47.659 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:47.817 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:47.972 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:48.164 *** Keyboard input *** key pressed: key: 65; text: "a"
2022-07-31 20:58:49.360 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:49.521 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:49.730 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:49.897 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:50.085 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:52.670 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:52.853 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:52.994 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:53.144 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:54.120 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:54.283 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:54.436 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:54.598 *** Keyboard input *** key pressed: key: 83; text: "s"
2022-07-31 20:58:57.563 *** Mouse movement ***  Mouse coords: (183, 139) (65739, 48809)
2022-07-31 20:58:59.927 *** Mouse movement ***  Mouse coords: (154, 114) (59953, 43846)
2022-07-31 20:59:01.468 *** Mouse movement ***  Mouse coords: (220, 94) (86212, 32746)
2022-07-31 20:59:03.441 *** Mouse movement ***  Mouse coords: (92, 141) (33636, 55300)
