2022-08-09 14:37:56.575 *** Start program *** Start program
2022-08-09 14:38:05.123 *** Open processed data
2022-08-09 14:38:05.864 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-08-09 14:38:07.064 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-08-09 14:38:08.326 *** Mouse movement ***  Mouse coords: (505, 423) (61176, 36035)
2022-08-09 14:38:08.340 *** Mouse movement ***  Mouse coords: (506, 423) (61336, 35875)
2022-08-09 14:38:08.356 *** Mouse movement ***  Mouse coords: (507, 426) (61336, 36355)
2022-08-09 14:38:08.372 *** Mouse movement ***  Mouse coords: (507, 427) (61176, 36035)
2022-08-09 14:38:11.079 *** Mouse movement ***  Mouse coords: (504, 470) (60696, 42755)
2022-08-09 14:38:11.105 *** Mouse movement ***  Mouse coords: (504, 464) (60696, 41955)
2022-08-09 14:38:11.139 *** Mouse movement ***  Mouse coords: (506, 453) (61016, 41155)
2022-08-09 14:38:11.156 *** Mouse movement ***  Mouse coords: (506, 450) (60696, 42435)
2022-08-09 14:38:11.172 *** Mouse movement ***  Mouse coords: (507, 447) (60856, 42435)
2022-08-09 14:38:11.189 *** Mouse movement ***  Mouse coords: (507, 445) (60696, 42595)
2022-08-09 14:38:11.206 *** Mouse movement ***  Mouse coords: (507, 444) (60696, 42755)
2022-08-09 14:38:11.243 *** Mouse movement ***  Mouse coords: (507, 443) (60696, 42755)
2022-08-09 14:38:11.265 *** Mouse movement ***  Mouse coords: (507, 442) (60696, 42755)
2022-08-09 14:38:11.289 *** Mouse movement ***  Mouse coords: (508, 441) (60856, 42755)
2022-08-09 14:38:11.322 *** Mouse movement ***  Mouse coords: (508, 440) (60696, 42755)
2022-08-09 14:38:12.000 *** Mouse movement ***  Mouse coords: (512, 448) (61336, 44195)
2022-08-09 14:38:12.021 *** Mouse movement ***  Mouse coords: (513, 449) (61336, 44195)
2022-08-09 14:38:12.039 *** Mouse movement ***  Mouse coords: (513, 450) (61176, 44195)
2022-08-09 14:38:13.381 *** Mouse movement ***  Mouse coords: (504, 425) (59736, 40035)
2022-08-09 14:38:13.405 *** Mouse movement ***  Mouse coords: (505, 427) (59896, 40195)
2022-08-09 14:38:13.422 *** Mouse movement ***  Mouse coords: (506, 428) (59896, 40035)
2022-08-09 14:38:13.439 *** Mouse movement ***  Mouse coords: (507, 430) (59896, 40195)
2022-08-09 14:38:13.456 *** Mouse movement ***  Mouse coords: (509, 433) (60056, 40355)
2022-08-09 14:38:13.472 *** Mouse movement ***  Mouse coords: (510, 434) (59896, 40035)
2022-08-09 14:38:13.489 *** Mouse movement ***  Mouse coords: (510, 435) (59736, 40035)
2022-08-09 14:38:14.152 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-08-09 14:38:18.864 *** Mouse movement ***  Mouse coords: (534, 449) (63576, 42115)
2022-08-09 14:38:18.888 *** Mouse movement ***  Mouse coords: (536, 451) (63896, 42275)
2022-08-09 14:38:18.906 *** Mouse movement ***  Mouse coords: (538, 453) (63896, 42275)
2022-08-09 14:38:18.923 *** Mouse movement ***  Mouse coords: (539, 455) (63736, 42275)
2022-08-09 14:38:18.939 *** Mouse movement ***  Mouse coords: (542, 458) (64056, 42435)
2022-08-09 14:38:18.956 *** Mouse movement ***  Mouse coords: (544, 460) (63896, 42275)
2022-08-09 14:38:18.972 *** Mouse movement ***  Mouse coords: (545, 461) (63736, 42115)
2022-08-09 14:38:18.989 *** Mouse movement ***  Mouse coords: (545, 462) (63576, 42115)
2022-08-09 14:38:19.209 *** Mouse movement ***  Mouse coords: (545, 463) (63576, 42115)
2022-08-09 14:38:19.241 *** Mouse movement ***  Mouse coords: (547, 464) (63896, 42115)
2022-08-09 14:38:19.258 *** Mouse movement ***  Mouse coords: (548, 465) (63736, 42115)
2022-08-09 14:38:19.272 *** Mouse movement ***  Mouse coords: (549, 466) (63736, 42115)
2022-08-09 14:38:19.289 *** Mouse movement ***  Mouse coords: (550, 467) (63736, 42115)
2022-08-09 14:38:19.306 *** Mouse movement ***  Mouse coords: (554, 469) (64216, 42275)
2022-08-09 14:38:19.322 *** Mouse movement ***  Mouse coords: (556, 470) (63896, 42115)
2022-08-09 14:38:19.339 *** Mouse movement ***  Mouse coords: (558, 471) (63896, 42115)
