2022-08-10 19:49:00.893 *** Start program *** Start program
2022-08-10 19:49:11.089 *** Open case *** /media/zhihuang/Drive3/Google_Colon_lnm_pos_2015_slides/slides/S1654
2022-08-10 19:49:15.395 *** Open processed data
2022-08-10 19:49:15.396 *** Preload all statistics at once.
2022-08-10 19:49:16.929 *** Nuclei stat data loaded, took 1.53 seconds. Total number of nuclei: 259792
2022-08-10 19:49:18.792 *** Mouse movement (LeftButton) ***  Mouse coords: (588, 263) (79436, 5179)
2022-08-10 19:49:18.810 *** Mouse movement (LeftButton) ***  Mouse coords: (589, 265) (79596, 5339)
2022-08-10 19:49:18.825 *** Mouse movement (LeftButton) ***  Mouse coords: (593, 274) (80076, 6459)
2022-08-10 19:49:18.842 *** Mouse movement (LeftButton) ***  Mouse coords: (599, 287) (80395, 7099)
2022-08-10 19:49:18.859 *** Mouse movement (LeftButton) ***  Mouse coords: (604, 297) (80235, 6619)
2022-08-10 19:49:18.875 *** Mouse movement (LeftButton) ***  Mouse coords: (616, 317) (81356, 8219)
2022-08-10 19:49:18.892 *** Mouse movement (LeftButton) ***  Mouse coords: (627, 332) (81196, 7419)
2022-08-10 19:49:18.909 *** Mouse movement (LeftButton) ***  Mouse coords: (635, 341) (80716, 6459)
2022-08-10 19:49:18.925 *** Mouse movement (LeftButton) ***  Mouse coords: (640, 347) (80236, 5979)
2022-08-10 19:49:18.942 *** Mouse movement (LeftButton) ***  Mouse coords: (646, 352) (80396, 5819)
2022-08-10 19:49:18.960 *** Mouse movement (LeftButton) ***  Mouse coords: (647, 354) (79595, 5339)
2022-08-10 19:49:19.632 *** Mouse movement (LeftButton) ***  Mouse coords: (831, 418) (108875, 15259)
2022-08-10 19:49:19.658 *** Mouse movement (LeftButton) ***  Mouse coords: (819, 413) (107115, 14459)
2022-08-10 19:49:19.676 *** Mouse movement (LeftButton) ***  Mouse coords: (810, 410) (107595, 14779)
2022-08-10 19:49:19.692 *** Mouse movement (LeftButton) ***  Mouse coords: (774, 396) (103275, 13019)
2022-08-10 19:49:19.709 *** Mouse movement (LeftButton) ***  Mouse coords: (746, 384) (104555, 13339)
2022-08-10 19:49:19.726 *** Mouse movement (LeftButton) ***  Mouse coords: (714, 372) (103915, 13339)
2022-08-10 19:49:19.742 *** Mouse movement (LeftButton) ***  Mouse coords: (681, 360) (103755, 13339)
2022-08-10 19:49:19.760 *** Mouse movement (LeftButton) ***  Mouse coords: (624, 339) (99916, 11899)
2022-08-10 19:49:19.776 *** Mouse movement (LeftButton) ***  Mouse coords: (590, 322) (103596, 12539)
2022-08-10 19:49:19.792 *** Mouse movement (LeftButton) ***  Mouse coords: (573, 314) (106316, 13979)
2022-08-10 19:49:19.809 *** Mouse movement (LeftButton) ***  Mouse coords: (552, 301) (105676, 13179)
2022-08-10 19:49:19.826 *** Mouse movement (LeftButton) ***  Mouse coords: (530, 286) (105516, 12859)
2022-08-10 19:49:19.842 *** Mouse movement (LeftButton) ***  Mouse coords: (512, 271) (106156, 12859)
2022-08-10 19:49:19.859 *** Mouse movement (LeftButton) ***  Mouse coords: (502, 263) (107436, 13979)
