2022-08-15 10:27:20.620 *** Start program *** Start program
2022-08-15 10:27:30.053 *** Open case *** /Users/zhihuang/Desktop/A14
2022-08-15 10:27:40.784 *** Open processed data
2022-08-15 10:27:40.785 *** Preload all statistics at once.
2022-08-15 10:27:42.898 *** Nuclei stat data loaded, took 2.11 seconds. Total number of nuclei: 1470268
2022-08-15 10:27:50.942 *** Mouse movement (LeftButton) ***  Mouse coords: (582, 585) (68613, 65539)
2022-08-15 10:27:50.978 *** Mouse movement (LeftButton) ***  Mouse coords: (611, 600) (71817, 67196)
2022-08-15 10:27:51.004 *** Mouse movement (LeftButton) ***  Mouse coords: (640, 611) (71817, 66755)
2022-08-15 10:27:51.025 *** Mouse movement (LeftButton) ***  Mouse coords: (665, 621) (71375, 66643)
2022-08-15 10:27:51.046 *** Mouse movement (LeftButton) ***  Mouse coords: (679, 625) (70160, 65981)
2022-08-15 10:27:51.066 *** Mouse movement (LeftButton) ***  Mouse coords: (719, 634) (73032, 66534)
2022-08-15 10:27:51.095 *** Mouse movement (LeftButton) ***  Mouse coords: (725, 635) (69276, 65649)
2022-08-15 10:27:51.116 *** Mouse movement (LeftButton) ***  Mouse coords: (737, 637) (69939, 65760)
2022-08-15 10:27:51.135 *** Mouse movement (LeftButton) ***  Mouse coords: (740, 638) (68944, 65650)
2022-08-15 10:27:51.155 *** Mouse movement (LeftButton) ***  Mouse coords: (740, 638) (68613, 65539)
2022-08-15 10:27:55.311 *** Mouse movement (LeftButton) ***  Mouse coords: (718, 469) (56047, 42786)
2022-08-15 10:27:55.367 *** Mouse movement (LeftButton) ***  Mouse coords: (717, 460) (56036, 42694)
2022-08-15 10:27:55.390 *** Mouse movement (LeftButton) ***  Mouse coords: (717, 455) (56047, 42735)
2022-08-15 10:27:55.410 *** Mouse movement (LeftButton) ***  Mouse coords: (714, 436) (56016, 42590)
2022-08-15 10:27:55.430 *** Mouse movement (LeftButton) ***  Mouse coords: (708, 375) (55986, 42160)
2022-08-15 10:27:55.452 *** Mouse movement (LeftButton) ***  Mouse coords: (705, 316) (56016, 42179)
2022-08-15 10:27:55.474 *** Mouse movement (LeftButton) ***  Mouse coords: (700, 252) (55996, 42129)
2022-08-15 10:27:55.498 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 221) (56026, 42467)
2022-08-15 10:27:55.520 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 205) (56047, 42622)
2022-08-15 10:27:55.543 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 200) (56047, 42735)
2022-08-15 10:27:55.565 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 197) (56047, 42755)
2022-08-15 10:27:55.587 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 196) (56047, 42776)
2022-08-15 10:27:55.651 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 196) (56047, 42786)
2022-08-15 10:27:56.069 *** Mouse movement (LeftButton) ***  Mouse coords: (619, 422) (55235, 45108)
2022-08-15 10:27:56.134 *** Mouse movement (LeftButton) ***  Mouse coords: (619, 423) (55235, 45118)
2022-08-15 10:27:56.163 *** Mouse movement (LeftButton) ***  Mouse coords: (619, 409) (55235, 44964)
2022-08-15 10:27:56.200 *** Mouse movement (LeftButton) ***  Mouse coords: (627, 371) (55318, 44718)
2022-08-15 10:27:56.221 *** Mouse movement (LeftButton) ***  Mouse coords: (668, 283) (55656, 44203)
2022-08-15 10:27:56.243 *** Mouse movement (LeftButton) ***  Mouse coords: (718, 202) (55749, 44276)
2022-08-15 10:27:56.262 *** Mouse movement (LeftButton) ***  Mouse coords: (763, 141) (55697, 44481)
