2022-08-31 12:11:12.071 *** Start program *** Start program
2022-08-31 12:11:20.359 *** Open case *** /Applications/XAMPP/xamppfiles/htdocs/20220722_Eric_Yang
2022-08-31 12:11:25.135 *** Open processed data
2022-08-31 12:11:25.136 *** Preload all statistics at once.
2022-08-31 12:11:25.683 *** Nuclei stat data loaded, took 0.55 seconds. Total number of nuclei: 670699
2022-08-31 12:11:29.685 *** Mouse movement (LeftButton) ***  Mouse coords: (556, 345) (82252, 31064)
2022-08-31 12:11:32.755 *** Mouse movement (LeftButton) ***  Mouse coords: (833, 312) (95443, 42143)
2022-08-31 12:11:32.851 *** Mouse movement (LeftButton) ***  Mouse coords: (833, 312) (95443, 42143)
2022-08-31 12:11:32.882 *** Mouse movement (LeftButton) ***  Mouse coords: (827, 313) (95436, 42144)
2022-08-31 12:11:32.909 *** Mouse movement (LeftButton) ***  Mouse coords: (824, 314) (95439, 42144)
2022-08-31 12:11:32.928 *** Mouse movement (LeftButton) ***  Mouse coords: (815, 318) (95433, 42148)
2022-08-31 12:11:32.947 *** Mouse movement (LeftButton) ***  Mouse coords: (809, 322) (95435, 42148)
2022-08-31 12:11:32.973 *** Mouse movement (LeftButton) ***  Mouse coords: (804, 325) (95438, 42146)
2022-08-31 12:11:32.992 *** Mouse movement (LeftButton) ***  Mouse coords: (797, 330) (95434, 42149)
2022-08-31 12:11:33.017 *** Mouse movement (LeftButton) ***  Mouse coords: (785, 337) (95429, 42151)
2022-08-31 12:11:33.042 *** Mouse movement (LeftButton) ***  Mouse coords: (755, 358) (95408, 42168)
2022-08-31 12:11:33.070 *** Mouse movement (LeftButton) ***  Mouse coords: (749, 362) (95436, 42148)
2022-08-31 12:11:33.089 *** Mouse movement (LeftButton) ***  Mouse coords: (730, 376) (95420, 42159)
2022-08-31 12:11:33.109 *** Mouse movement (LeftButton) ***  Mouse coords: (715, 389) (95426, 42159)
2022-08-31 12:11:33.129 *** Mouse movement (LeftButton) ***  Mouse coords: (703, 400) (95428, 42156)
2022-08-31 12:11:33.155 *** Mouse movement (LeftButton) ***  Mouse coords: (690, 411) (95428, 42156)
2022-08-31 12:11:33.174 *** Mouse movement (LeftButton) ***  Mouse coords: (684, 416) (95436, 42149)
2022-08-31 12:11:33.196 *** Mouse movement (LeftButton) ***  Mouse coords: (682, 417) (95441, 42144)
2022-08-31 12:11:33.219 *** Mouse movement (LeftButton) ***  Mouse coords: (682, 418) (95443, 42144)
2022-08-31 12:11:33.238 *** Mouse movement (LeftButton) ***  Mouse coords: (682, 418) (95443, 42143)
2022-08-31 12:11:33.260 *** Mouse movement (LeftButton) ***  Mouse coords: (681, 418) (95441, 42143)
2022-08-31 12:11:33.286 *** Mouse movement (LeftButton) ***  Mouse coords: (678, 420) (95440, 42145)
2022-08-31 12:11:33.310 *** Mouse movement (LeftButton) ***  Mouse coords: (645, 445) (95404, 42173)
2022-08-31 12:11:33.331 *** Mouse movement (LeftButton) ***  Mouse coords: (633, 456) (95429, 42156)
2022-08-31 12:11:33.353 *** Mouse movement (LeftButton) ***  Mouse coords: (600, 490) (95404, 42183)
2022-08-31 12:11:33.372 *** Mouse movement (LeftButton) ***  Mouse coords: (566, 531) (95403, 42191)
2022-08-31 12:11:33.394 *** Mouse movement (LeftButton) ***  Mouse coords: (543, 559) (95416, 42176)
2022-08-31 12:11:33.419 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 588) (95413, 42177)
2022-08-31 12:11:33.439 *** Mouse movement (LeftButton) ***  Mouse coords: (504, 602) (95427, 42160)
2022-08-31 12:11:33.462 *** Mouse movement (LeftButton) ***  Mouse coords: (498, 608) (95436, 42150)
2022-08-31 12:11:33.480 *** Mouse movement (LeftButton) ***  Mouse coords: (495, 611) (95439, 42147)
2022-08-31 12:11:33.502 *** Mouse movement (LeftButton) ***  Mouse coords: (494, 612) (95442, 42144)
2022-08-31 12:11:33.526 *** Mouse movement (LeftButton) ***  Mouse coords: (494, 612) (95443, 42143)
2022-08-31 12:11:33.545 *** Mouse movement (LeftButton) ***  Mouse coords: (494, 611) (95443, 42142)
2022-08-31 12:11:33.566 *** Mouse movement (LeftButton) ***  Mouse coords: (496, 610) (95445, 42141)
2022-08-31 12:11:41.440 *** Mouse movement (LeftButton) ***  Mouse coords: (728, 549) (95717, 42072)
2022-08-31 12:11:41.584 *** Mouse movement (LeftButton) ***  Mouse coords: (728, 549) (95718, 42072)
2022-08-31 12:11:41.609 *** Mouse movement (LeftButton) ***  Mouse coords: (727, 549) (95717, 42072)
2022-08-31 12:11:41.631 *** Mouse movement (LeftButton) ***  Mouse coords: (725, 548) (95715, 42070)
2022-08-31 12:11:41.649 *** Mouse movement (LeftButton) ***  Mouse coords: (723, 546) (95716, 42070)
2022-08-31 12:11:41.669 *** Mouse movement (LeftButton) ***  Mouse coords: (719, 543) (95713, 42068)
2022-08-31 12:11:41.692 *** Mouse movement (LeftButton) ***  Mouse coords: (717, 541) (95716, 42070)
2022-08-31 12:11:41.710 *** Mouse movement (LeftButton) ***  Mouse coords: (715, 539) (95716, 42070)
2022-08-31 12:11:41.732 *** Mouse movement (LeftButton) ***  Mouse coords: (711, 537) (95713, 42069)
2022-08-31 12:11:41.757 *** Mouse movement (LeftButton) ***  Mouse coords: (707, 534) (95713, 42069)
2022-08-31 12:11:41.776 *** Mouse movement (LeftButton) ***  Mouse coords: (704, 532) (95715, 42069)
2022-08-31 12:11:41.797 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 529) (95714, 42069)
2022-08-31 12:11:41.822 *** Mouse movement (LeftButton) ***  Mouse coords: (700, 529) (95717, 42072)
2022-08-31 12:11:41.841 *** Mouse movement (LeftButton) ***  Mouse coords: (700, 528) (95718, 42071)
2022-08-31 12:11:41.860 *** Mouse movement (LeftButton) ***  Mouse coords: (699, 528) (95717, 42072)
2022-08-31 12:11:41.881 *** Mouse movement (LeftButton) ***  Mouse coords: (699, 528) (95718, 42072)
2022-08-31 12:11:42.732 *** Mouse movement (LeftButton) ***  Mouse coords: (552, 455) (95544, 41986)
2022-08-31 12:11:42.888 *** Interactive label *** (double click) click on screen. screen: (552, 456); slide: (95544, 41987). case_id: 20220722_Eric_Yang, slide_id: 3BQMJY_44661.svs, Nuclei index selected: 402466
2022-08-31 12:11:43.120 *** Interactive label *** Apply to case start.
2022-08-31 12:11:44.205 *** Mouse movement (LeftButton) ***  Mouse coords: (624, 479) (95629, 42014)
2022-08-31 12:11:44.384 *** Mouse movement (LeftButton) ***  Mouse coords: (628, 480) (95631, 42013)
2022-08-31 12:11:44.412 *** Mouse movement (LeftButton) ***  Mouse coords: (630, 480) (95628, 42012)
2022-08-31 12:11:44.449 *** Mouse movement (LeftButton) ***  Mouse coords: (634, 480) (95631, 42012)
2022-08-31 12:11:44.468 *** Mouse movement (LeftButton) ***  Mouse coords: (638, 480) (95631, 42012)
2022-08-31 12:11:44.491 *** Mouse movement (LeftButton) ***  Mouse coords: (647, 480) (95636, 42012)
2022-08-31 12:11:44.511 *** Mouse movement (LeftButton) ***  Mouse coords: (656, 480) (95637, 42012)
2022-08-31 12:11:44.532 *** Mouse movement (LeftButton) ***  Mouse coords: (660, 478) (95631, 42010)
2022-08-31 12:11:44.552 *** Mouse movement (LeftButton) ***  Mouse coords: (663, 477) (95629, 42011)
2022-08-31 12:11:44.576 *** Mouse movement (LeftButton) ***  Mouse coords: (666, 476) (95630, 42010)
2022-08-31 12:11:44.594 *** Mouse movement (LeftButton) ***  Mouse coords: (666, 475) (95626, 42011)
2022-08-31 12:11:44.634 *** Mouse movement (LeftButton) ***  Mouse coords: (667, 475) (95627, 42012)
2022-08-31 12:11:44.653 *** Mouse movement (LeftButton) ***  Mouse coords: (667, 475) (95626, 42012)
2022-08-31 12:11:44.693 *** Mouse movement (LeftButton) ***  Mouse coords: (667, 474) (95626, 42011)
2022-08-31 12:12:13.154 *** Mouse movement (LeftButton) ***  Mouse coords: (627, 860) (95579, 42467)
2022-08-31 12:12:13.202 *** Mouse movement (LeftButton) ***  Mouse coords: (630, 844) (95582, 42448)
2022-08-31 12:12:13.227 *** Mouse movement (LeftButton) ***  Mouse coords: (636, 827) (95586, 42447)
