2022-09-10 21:46:27.525 *** Start program *** Start program
2022-09-10 21:46:46.644 *** Open case *** /home/zhihuang/Desktop/A14
2022-09-10 21:46:48.987 *** Open processed data
2022-09-10 21:46:48.987 *** Preload all statistics at once.
2022-09-10 21:46:51.696 *** Nuclei stat data loaded, took 2.71 seconds. Total number of nuclei: 2755531
2022-09-10 21:47:06.139 *** Mouse movement (LeftButton) ***  Mouse coords: (340, 323) (31942, 52392)
2022-09-10 21:47:06.166 *** Mouse movement (LeftButton) ***  Mouse coords: (365, 360) (32081, 52593)
2022-09-10 21:47:06.184 *** Mouse movement (LeftButton) ***  Mouse coords: (395, 393) (32109, 52571)
2022-09-10 21:47:06.200 *** Mouse movement (LeftButton) ***  Mouse coords: (423, 422) (32098, 52549)
2022-09-10 21:47:06.216 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 452) (32126, 52554)
2022-09-10 21:47:06.234 *** Mouse movement (LeftButton) ***  Mouse coords: (485, 478) (32103, 52532)
2022-09-10 21:47:06.250 *** Mouse movement (LeftButton) ***  Mouse coords: (504, 494) (32048, 52476)
2022-09-10 21:47:06.268 *** Mouse movement (LeftButton) ***  Mouse coords: (520, 508) (32031, 52465)
2022-09-10 21:47:06.283 *** Mouse movement (LeftButton) ***  Mouse coords: (526, 515) (31976, 52426)
2022-09-10 21:47:06.300 *** Mouse movement (LeftButton) ***  Mouse coords: (536, 523) (31997, 52431)
2022-09-10 21:47:06.320 *** Mouse movement (LeftButton) ***  Mouse coords: (555, 538) (32048, 52471)
2022-09-10 21:47:06.333 *** Mouse movement (LeftButton) ***  Mouse coords: (587, 558) (32121, 52498)
2022-09-10 21:47:06.351 *** Mouse movement (LeftButton) ***  Mouse coords: (643, 588) (32254, 52554)
2022-09-10 21:47:06.366 *** Mouse movement (LeftButton) ***  Mouse coords: (688, 603) (32192, 52471)
2022-09-10 21:47:06.383 *** Mouse movement (LeftButton) ***  Mouse coords: (732, 612) (32187, 52437)
2022-09-10 21:47:06.401 *** Mouse movement (LeftButton) ***  Mouse coords: (770, 617) (32154, 52415)
2022-09-10 21:47:06.416 *** Mouse movement (LeftButton) ***  Mouse coords: (815, 624) (32193, 52426)
2022-09-10 21:47:06.434 *** Mouse movement (LeftButton) ***  Mouse coords: (876, 625) (32281, 52392)
2022-09-10 21:47:06.450 *** Mouse movement (LeftButton) ***  Mouse coords: (933, 625) (32260, 52387)
2022-09-10 21:47:06.466 *** Mouse movement (LeftButton) ***  Mouse coords: (990, 617) (32259, 52343)
2022-09-10 21:47:06.484 *** Mouse movement (LeftButton) ***  Mouse coords: (1029, 603) (32160, 52309)
2022-09-10 21:47:06.500 *** Mouse movement (LeftButton) ***  Mouse coords: (1043, 591) (32020, 52320)
2022-09-10 21:47:06.517 *** Mouse movement (LeftButton) ***  Mouse coords: (1047, 572) (31964, 52281)
2022-09-10 21:47:06.533 *** Mouse movement (LeftButton) ***  Mouse coords: (1049, 543) (31953, 52226)
2022-09-10 21:47:06.535 *** Mouse movement (LeftButton) ***  Mouse coords: (1049, 540) (31942, 52370)
2022-09-10 21:47:06.550 *** Mouse movement (LeftButton) ***  Mouse coords: (1051, 515) (31953, 52248)
2022-09-10 21:47:06.567 *** Mouse movement (LeftButton) ***  Mouse coords: (1079, 491) (32098, 52253)
2022-09-10 21:47:06.583 *** Mouse movement (LeftButton) ***  Mouse coords: (1121, 471) (32176, 52276)
2022-09-10 21:47:06.601 *** Mouse movement (LeftButton) ***  Mouse coords: (1176, 454) (32249, 52292)
2022-09-10 21:47:06.616 *** Mouse movement (LeftButton) ***  Mouse coords: (1216, 448) (32164, 52353)
2022-09-10 21:47:06.633 *** Mouse movement (LeftButton) ***  Mouse coords: (1242, 443) (32087, 52360)
2022-09-10 21:47:06.650 *** Mouse movement (LeftButton) ***  Mouse coords: (1244, 442) (31953, 52381)
2022-09-10 21:47:06.729 *** Mouse movement (LeftButton) ***  Mouse coords: (1243, 442) (31937, 52387)
2022-09-10 21:47:07.360 *** Mouse movement (LeftButton) ***  Mouse coords: (421, 450) (27363, 52432)
2022-09-10 21:47:07.383 *** Mouse movement (LeftButton) ***  Mouse coords: (459, 459) (27569, 52482)
2022-09-10 21:47:07.400 *** Mouse movement (LeftButton) ***  Mouse coords: (519, 465) (27691, 52465)
2022-09-10 21:47:07.417 *** Mouse movement (LeftButton) ***  Mouse coords: (584, 470) (27719, 52460)
2022-09-10 21:47:07.433 *** Mouse movement (LeftButton) ***  Mouse coords: (658, 474) (27769, 52454)
2022-09-10 21:47:07.450 *** Mouse movement (LeftButton) ***  Mouse coords: (714, 474) (27669, 52432)
2022-09-10 21:47:07.466 *** Mouse movement (LeftButton) ***  Mouse coords: (744, 474) (27524, 52432)
2022-09-10 21:47:07.484 *** Mouse movement (LeftButton) ***  Mouse coords: (751, 473) (27396, 52427)
2022-09-10 21:47:08.753 *** Mouse movement (LeftButton) ***  Mouse coords: (151, 404) (24015, 52047)
2022-09-10 21:47:08.768 *** Mouse movement (LeftButton) ***  Mouse coords: (158, 404) (24048, 52047)
2022-09-10 21:47:08.784 *** Mouse movement (LeftButton) ***  Mouse coords: (180, 404) (24131, 52047)
2022-09-10 21:47:08.800 *** Mouse movement (LeftButton) ***  Mouse coords: (225, 406) (24260, 52058)
2022-09-10 21:47:08.817 *** Mouse movement (LeftButton) ***  Mouse coords: (286, 409) (24349, 52064)
2022-09-10 21:47:08.834 *** Mouse movement (LeftButton) ***  Mouse coords: (340, 412) (24310, 52064)
2022-09-10 21:47:08.850 *** Mouse movement (LeftButton) ***  Mouse coords: (388, 416) (24276, 52069)
2022-09-10 21:47:08.867 *** Mouse movement (LeftButton) ***  Mouse coords: (423, 418) (24204, 52058)
2022-09-10 21:47:08.883 *** Mouse movement (LeftButton) ***  Mouse coords: (433, 418) (24065, 52047)
2022-09-10 21:47:08.901 *** Mouse movement (LeftButton) ***  Mouse coords: (434, 418) (24014, 52047)
2022-09-10 21:47:08.934 *** Mouse movement (LeftButton) ***  Mouse coords: (435, 418) (24015, 52047)
2022-09-10 21:47:08.950 *** Mouse movement (LeftButton) ***  Mouse coords: (446, 415) (24070, 52031)
2022-09-10 21:47:08.966 *** Mouse movement (LeftButton) ***  Mouse coords: (468, 413) (24132, 52035)
2022-09-10 21:47:08.984 *** Mouse movement (LeftButton) ***  Mouse coords: (500, 411) (24187, 52036)
2022-09-10 21:47:09.000 *** Mouse movement (LeftButton) ***  Mouse coords: (532, 410) (24187, 52042)
2022-09-10 21:47:09.017 *** Mouse movement (LeftButton) ***  Mouse coords: (568, 410) (24210, 52047)
2022-09-10 21:47:09.033 *** Mouse movement (LeftButton) ***  Mouse coords: (590, 410) (24131, 52047)
2022-09-10 21:47:09.050 *** Mouse movement (LeftButton) ***  Mouse coords: (605, 410) (24093, 52047)
2022-09-10 21:47:09.068 *** Mouse movement (LeftButton) ***  Mouse coords: (612, 410) (24048, 52047)
2022-09-10 21:47:09.084 *** Mouse movement (LeftButton) ***  Mouse coords: (614, 410) (24020, 52047)
2022-09-10 21:47:11.980 *** Mouse movement (LeftButton) ***  Mouse coords: (746, 273) (23742, 51957)
2022-09-10 21:47:11.997 *** Mouse movement (LeftButton) ***  Mouse coords: (746, 272) (23742, 51956)
2022-09-10 21:47:12.012 *** Mouse movement (LeftButton) ***  Mouse coords: (747, 272) (23743, 51956)
2022-09-10 21:47:12.021 *** Mouse movement (LeftButton) ***  Mouse coords: (748, 273) (23745, 51957)
2022-09-10 21:47:12.033 *** Mouse movement (LeftButton) ***  Mouse coords: (756, 279) (23753, 51963)
2022-09-10 21:47:12.050 *** Mouse movement (LeftButton) ***  Mouse coords: (793, 301) (23791, 51986)
2022-09-10 21:47:12.068 *** Mouse movement (LeftButton) ***  Mouse coords: (861, 335) (23862, 52021)
2022-09-10 21:47:12.084 *** Mouse movement (LeftButton) ***  Mouse coords: (928, 365) (23932, 52052)
2022-09-10 21:47:12.100 *** Mouse movement (LeftButton) ***  Mouse coords: (997, 397) (24003, 52086)
2022-09-10 21:47:12.117 *** Mouse movement (LeftButton) ***  Mouse coords: (1057, 433) (24066, 52123)
2022-09-10 21:47:12.134 *** Mouse movement (LeftButton) ***  Mouse coords: (1089, 458) (24099, 52149)
2022-09-10 21:47:12.150 *** Mouse movement (LeftButton) ***  Mouse coords: (1096, 469) (24106, 52161)
