2022-09-23 02:40:20.994 *** Start program *** Start program
2022-09-23 02:40:36.240 *** Open case *** /Users/zhihuang/Downloads/S-demo-4304
2022-09-23 02:40:39.947 *** Open processed data
2022-09-23 02:40:39.948 *** Preload all statistics at once.
2022-09-23 02:40:41.691 *** Nuclei stat data loaded, took 1.74 seconds. Total number of nuclei: 1002261
2022-09-23 02:40:46.144 *** Mouse movement (LeftButton) ***  Mouse coords: (534, 232) (48932, 18881)
2022-09-23 02:40:52.231 *** Mouse movement (LeftButton) ***  Mouse coords: (531, 128) (50306, 21819)
2022-09-23 02:40:52.270 *** Mouse movement (LeftButton) ***  Mouse coords: (531, 153) (50306, 21865)
2022-09-23 02:40:52.310 *** Mouse movement (LeftButton) ***  Mouse coords: (531, 197) (50306, 21902)
2022-09-23 02:40:52.331 *** Mouse movement (LeftButton) ***  Mouse coords: (535, 234) (50314, 21888)
2022-09-23 02:40:52.351 *** Mouse movement (LeftButton) ***  Mouse coords: (544, 286) (50323, 21917)
2022-09-23 02:40:52.371 *** Mouse movement (LeftButton) ***  Mouse coords: (551, 311) (50320, 21865)
2022-09-23 02:40:52.392 *** Mouse movement (LeftButton) ***  Mouse coords: (554, 325) (50312, 21844)
2022-09-23 02:40:52.421 *** Mouse movement (LeftButton) ***  Mouse coords: (556, 338) (50310, 21842)
2022-09-23 02:40:57.867 *** Mouse movement (LeftButton) ***  Mouse coords: (466, 307) (50132, 21757)
2022-09-23 02:40:57.939 *** Mouse movement (LeftButton) ***  Mouse coords: (466, 307) (50132, 21757)
2022-09-23 02:40:57.957 *** Mouse movement (LeftButton) ***  Mouse coords: (474, 312) (50148, 21767)
2022-09-23 02:40:57.977 *** Mouse movement (LeftButton) ***  Mouse coords: (494, 327) (50186, 21796)
2022-09-23 02:40:57.994 *** Mouse movement (LeftButton) ***  Mouse coords: (521, 349) (50238, 21838)
2022-09-23 02:40:58.012 *** Mouse movement (LeftButton) ***  Mouse coords: (546, 372) (50286, 21882)
2022-09-23 02:40:58.029 *** Mouse movement (LeftButton) ***  Mouse coords: (565, 385) (50323, 21907)
2022-09-23 02:40:58.046 *** Mouse movement (LeftButton) ***  Mouse coords: (583, 398) (50357, 21932)
2022-09-23 02:40:58.064 *** Mouse movement (LeftButton) ***  Mouse coords: (596, 409) (50383, 21954)
2022-09-23 02:40:58.081 *** Mouse movement (LeftButton) ***  Mouse coords: (602, 413) (50394, 21961)
2022-09-23 02:40:58.098 *** Mouse movement (LeftButton) ***  Mouse coords: (610, 419) (50409, 21973)
2022-09-23 02:40:58.116 *** Mouse movement (LeftButton) ***  Mouse coords: (615, 424) (50419, 21983)
2022-09-23 02:40:58.133 *** Mouse movement (LeftButton) ***  Mouse coords: (618, 429) (50425, 21992)
2022-09-23 02:40:58.150 *** Mouse movement (LeftButton) ***  Mouse coords: (620, 431) (50429, 21996)
2022-09-23 02:40:58.168 *** Mouse movement (LeftButton) ***  Mouse coords: (621, 432) (50431, 21998)
2022-09-23 02:40:58.185 *** Mouse movement (LeftButton) ***  Mouse coords: (622, 433) (50433, 22000)
2022-09-23 02:40:58.203 *** Mouse movement (LeftButton) ***  Mouse coords: (622, 433) (50433, 22000)
2022-09-23 02:40:58.219 *** Mouse movement (LeftButton) ***  Mouse coords: (623, 435) (50434, 22004)
2022-09-23 02:40:58.237 *** Mouse movement (LeftButton) ***  Mouse coords: (623, 438) (50434, 22009)
2022-09-23 02:40:58.254 *** Mouse movement (LeftButton) ***  Mouse coords: (624, 443) (50436, 22019)
2022-09-23 02:40:58.271 *** Mouse movement (LeftButton) ***  Mouse coords: (625, 449) (50438, 22031)
2022-09-23 02:40:58.289 *** Mouse movement (LeftButton) ***  Mouse coords: (630, 459) (50448, 22050)
2022-09-23 02:40:58.306 *** Mouse movement (LeftButton) ***  Mouse coords: (633, 466) (50454, 22063)
2022-09-23 02:40:58.323 *** Mouse movement (LeftButton) ***  Mouse coords: (636, 471) (50460, 22073)
2022-09-23 02:40:58.340 *** Mouse movement (LeftButton) ***  Mouse coords: (640, 476) (50467, 22083)
2022-09-23 02:40:58.358 *** Mouse movement (LeftButton) ***  Mouse coords: (643, 479) (50473, 22088)
2022-09-23 02:40:58.375 *** Mouse movement (LeftButton) ***  Mouse coords: (645, 481) (50477, 22092)
2022-09-23 02:40:58.392 *** Mouse movement (LeftButton) ***  Mouse coords: (648, 482) (50483, 22094)
2022-09-23 02:40:58.409 *** Mouse movement (LeftButton) ***  Mouse coords: (651, 483) (50488, 22096)
2022-09-23 02:40:58.427 *** Mouse movement (LeftButton) ***  Mouse coords: (657, 485) (50500, 22100)
2022-09-23 02:40:58.445 *** Mouse movement (LeftButton) ***  Mouse coords: (664, 488) (50513, 22106)
2022-09-23 02:40:58.461 *** Mouse movement (LeftButton) ***  Mouse coords: (675, 491) (50535, 22111)
2022-09-23 02:40:58.479 *** Mouse movement (LeftButton) ***  Mouse coords: (682, 493) (50548, 22115)
2022-09-23 02:40:58.497 *** Mouse movement (LeftButton) ***  Mouse coords: (689, 496) (50562, 22121)
2022-09-23 02:40:58.514 *** Mouse movement (LeftButton) ***  Mouse coords: (692, 496) (50567, 22121)
2022-09-23 02:40:58.531 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 496) (50571, 22121)
2022-09-23 02:40:58.549 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 496) (50571, 22121)
2022-09-23 02:40:58.580 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 496) (50571, 22121)
2022-09-23 02:40:58.596 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 496) (50571, 22121)
2022-09-23 02:40:58.748 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 496) (50571, 22121)
2022-09-23 02:40:58.772 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 495) (50571, 22119)
2022-09-23 02:40:58.793 *** Mouse movement (LeftButton) ***  Mouse coords: (694, 493) (50571, 22115)
2022-09-23 02:40:58.811 *** Mouse movement (LeftButton) ***  Mouse coords: (695, 491) (50573, 22111)
2022-09-23 02:40:58.829 *** Mouse movement (LeftButton) ***  Mouse coords: (696, 490) (50575, 22110)
2022-09-23 02:40:58.846 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 487) (50579, 22104)
2022-09-23 02:40:58.864 *** Mouse movement (LeftButton) ***  Mouse coords: (699, 487) (50581, 22104)
2022-09-23 02:40:58.881 *** Mouse movement (LeftButton) ***  Mouse coords: (699, 486) (50581, 22102)
2022-09-23 02:40:58.898 *** Mouse movement (LeftButton) ***  Mouse coords: (700, 486) (50583, 22102)
2022-09-23 02:40:58.915 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 485) (50585, 22100)
2022-09-23 02:40:58.964 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 485) (50585, 22100)
2022-09-23 02:40:58.980 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 485) (50585, 22100)
2022-09-23 02:40:58.995 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 485) (50585, 22100)
2022-09-23 02:40:59.011 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 485) (50585, 22100)
2022-09-23 02:40:59.026 *** Mouse movement (LeftButton) ***  Mouse coords: (701, 484) (50585, 22098)
2022-09-23 02:40:59.044 *** Mouse movement (LeftButton) ***  Mouse coords: (702, 484) (50587, 22098)
2022-09-23 02:40:59.060 *** Mouse movement (LeftButton) ***  Mouse coords: (702, 483) (50587, 22096)
2022-09-23 02:40:59.078 *** Mouse movement (LeftButton) ***  Mouse coords: (702, 483) (50587, 22096)
2022-09-23 02:41:00.624 *** Interactive label *** Apply to case start.
2022-09-23 02:41:01.756 *** Mouse movement (LeftButton) ***  Mouse coords: (229, 519) (49676, 22165)
2022-09-23 02:41:01.785 *** Mouse movement (LeftButton) ***  Mouse coords: (240, 529) (49697, 22185)
2022-09-23 02:41:01.808 *** Mouse movement (LeftButton) ***  Mouse coords: (270, 551) (49755, 22227)
2022-09-23 02:41:01.829 *** Mouse movement (LeftButton) ***  Mouse coords: (287, 561) (49788, 22246)
2022-09-23 02:41:01.847 *** Mouse movement (LeftButton) ***  Mouse coords: (304, 575) (49820, 22273)
