2022-09-23 03:45:31.133 *** Start program *** Start program
2022-09-23 03:46:21.986 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-09-23 03:46:22.003 *** Keyboard input *** key pressed: key: 16777249; text: ""
2022-09-23 03:46:39.769 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-09-23 03:46:39.791 *** Keyboard input *** key pressed: key: 16777249; text: ""
2022-09-23 03:46:41.650 *** Keyboard input *** key pressed: key: 16777249; text: ""
2022-09-23 03:46:41.651 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-09-23 03:47:05.821 *** Keyboard input *** key pressed: key: 16777248; text: ""
2022-09-23 03:47:05.834 *** Keyboard input *** key pressed: key: 16777249; text: ""
2022-09-23 04:03:53.969 *** Open case *** /Users/zhihuang/Desktop/S4325
2022-09-23 04:03:56.427 *** Open processed data
2022-09-23 04:03:56.438 *** Preload all statistics at once.
2022-09-23 04:03:59.479 *** Nuclei stat data loaded, took 3.04 seconds. Total number of nuclei: 922888
2022-09-23 04:04:04.414 *** Mouse movement (LeftButton) ***  Mouse coords: (130, 64) (-27980, -50962)
2022-09-23 04:04:07.378 *** Mouse movement (LeftButton) ***  Mouse coords: (570, 220) (74679, 20080)
2022-09-23 04:04:07.420 *** Mouse movement (LeftButton) ***  Mouse coords: (606, 242) (76104, 20976)
2022-09-23 04:04:07.445 *** Mouse movement (LeftButton) ***  Mouse coords: (643, 272) (76146, 21302)
2022-09-23 04:04:07.467 *** Mouse movement (LeftButton) ***  Mouse coords: (800, 404) (81033, 25457)
2022-09-23 04:04:07.488 *** Mouse movement (LeftButton) ***  Mouse coords: (916, 498) (79363, 23910)
2022-09-23 04:04:07.515 *** Mouse movement (LeftButton) ***  Mouse coords: (1043, 598) (79812, 24153)
2022-09-23 04:04:07.538 *** Mouse movement (LeftButton) ***  Mouse coords: (1092, 634) (76634, 21547)
2022-09-23 04:04:07.561 *** Mouse movement (LeftButton) ***  Mouse coords: (1108, 646) (75290, 20568)
2022-09-23 04:04:07.586 *** Mouse movement (LeftButton) ***  Mouse coords: (1110, 647) (74719, 20121)
2022-09-23 04:04:08.213 *** Mouse movement (LeftButton) ***  Mouse coords: (435, 532) (47142, 15396)
2022-09-23 04:04:08.266 *** Mouse movement (LeftButton) ***  Mouse coords: (590, 532) (53415, 15396)
2022-09-23 04:04:08.290 *** Mouse movement (LeftButton) ***  Mouse coords: (792, 532) (55329, 15396)
2022-09-23 04:04:08.312 *** Mouse movement (LeftButton) ***  Mouse coords: (922, 532) (52397, 15396)
2022-09-23 04:04:08.355 *** Mouse movement (LeftButton) ***  Mouse coords: (994, 532) (50034, 15396)
2022-09-23 04:04:08.380 *** Mouse movement (LeftButton) ***  Mouse coords: (1011, 532) (47793, 15396)
2022-09-23 04:04:08.408 *** Mouse movement (LeftButton) ***  Mouse coords: (1021, 532) (47509, 15396)
2022-09-23 04:04:08.444 *** Mouse movement (LeftButton) ***  Mouse coords: (1021, 532) (47101, 15396)
2022-09-23 04:04:08.479 *** Mouse movement (LeftButton) ***  Mouse coords: (1021, 532) (47101, 15396)
2022-09-23 04:04:09.957 *** Mouse movement (LeftButton) ***  Mouse coords: (747, 306) (54549, 18447)
2022-09-23 04:04:10.028 *** Mouse movement (LeftButton) ***  Mouse coords: (748, 306) (54559, 18447)
2022-09-23 04:04:10.078 *** Mouse movement (LeftButton) ***  Mouse coords: (760, 359) (54668, 18976)
2022-09-23 04:04:10.117 *** Mouse movement (LeftButton) ***  Mouse coords: (774, 471) (54689, 19563)
2022-09-23 04:04:10.145 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 626) (54559, 19993)
2022-09-23 04:04:10.167 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 644) (54549, 18626)
2022-09-23 04:04:10.188 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 679) (54549, 18796)
2022-09-23 04:04:10.210 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 701) (54549, 18666)
2022-09-23 04:04:10.231 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 708) (54549, 18517)
2022-09-23 04:04:10.254 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 710) (54549, 18467)
2022-09-23 04:04:10.294 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 710) (54549, 18447)
2022-09-23 04:04:10.322 *** Mouse movement (LeftButton) ***  Mouse coords: (775, 710) (54549, 18447)
2022-09-23 04:04:10.345 *** Mouse movement (LeftButton) ***  Mouse coords: (774, 710) (54539, 18447)
2022-09-23 04:04:10.366 *** Mouse movement (LeftButton) ***  Mouse coords: (774, 710) (54549, 18447)
2022-09-23 04:04:10.811 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 181) (53791, 13173)
2022-09-23 04:04:10.894 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 181) (53791, 13173)
2022-09-23 04:04:10.924 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 210) (53791, 13462)
2022-09-23 04:04:10.947 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 310) (53791, 14170)
2022-09-23 04:04:10.970 *** Mouse movement (LeftButton) ***  Mouse coords: (698, 427) (53791, 14340)
2022-09-23 04:04:10.991 *** Mouse movement (LeftButton) ***  Mouse coords: (695, 506) (53761, 13960)
2022-09-23 04:04:11.013 *** Mouse movement (LeftButton) ***  Mouse coords: (681, 581) (53652, 13921)
2022-09-23 04:04:11.034 *** Mouse movement (LeftButton) ***  Mouse coords: (673, 610) (53711, 13462)
2022-09-23 04:04:11.058 *** Mouse movement (LeftButton) ***  Mouse coords: (671, 617) (53771, 13243)
2022-09-23 04:04:11.079 *** Mouse movement (LeftButton) ***  Mouse coords: (668, 626) (53761, 13263)
2022-09-23 04:04:11.100 *** Mouse movement (LeftButton) ***  Mouse coords: (667, 631) (53781, 13222)
2022-09-23 04:04:11.123 *** Mouse movement (LeftButton) ***  Mouse coords: (667, 631) (53791, 13173)
