2022-10-14 13:00:34.128 *** Start program *** Start program
2022-10-14 13:00:48.978 *** Open case *** /Users/zhihuang/Desktop/44494262
2022-10-14 13:01:42.727 *** Open case *** /Users/zhihuang/Desktop/44494171
2022-10-14 13:02:44.013 *** Open case *** /Applications/XAMPP/xamppfiles/htdocs/20220722_Eric_Yang
2022-10-14 13:02:56.578 *** Open processed data
2022-10-14 13:02:56.580 *** Preload all statistics at once.
2022-10-14 13:02:58.182 *** Nuclei stat data loaded, took 1.60 seconds. Total number of nuclei: 696907
2022-10-14 13:03:04.045 *** Mouse movement (LeftButton) ***  Mouse coords: (432, 391) (32189, 29149)
2022-10-14 13:03:04.097 *** Mouse movement (LeftButton) ***  Mouse coords: (472, 391) (33424, 29149)
2022-10-14 13:03:04.121 *** Mouse movement (LeftButton) ***  Mouse coords: (524, 405) (33795, 29581)
2022-10-14 13:03:04.143 *** Mouse movement (LeftButton) ***  Mouse coords: (574, 428) (33733, 29860)
2022-10-14 13:03:04.172 *** Mouse movement (LeftButton) ***  Mouse coords: (587, 435) (32590, 29365)
2022-10-14 13:03:04.208 *** Mouse movement (LeftButton) ***  Mouse coords: (607, 445) (32807, 29457)
2022-10-14 13:03:04.245 *** Mouse movement (LeftButton) ***  Mouse coords: (631, 458) (32930, 29551)
2022-10-14 13:03:04.271 *** Mouse movement (LeftButton) ***  Mouse coords: (632, 458) (32220, 29149)
2022-10-14 13:03:07.069 *** Mouse movement (LeftButton) ***  Mouse coords: (969, 253) (35459, 26824)
2022-10-14 13:03:07.151 *** Mouse movement (LeftButton) ***  Mouse coords: (969, 253) (35459, 26824)
2022-10-14 13:03:07.184 *** Mouse movement (LeftButton) ***  Mouse coords: (952, 257) (35422, 26832)
2022-10-14 13:03:07.218 *** Mouse movement (LeftButton) ***  Mouse coords: (939, 265) (35430, 26842)
2022-10-14 13:03:07.244 *** Mouse movement (LeftButton) ***  Mouse coords: (850, 315) (35262, 26935)
2022-10-14 13:03:07.264 *** Mouse movement (LeftButton) ***  Mouse coords: (849, 315) (35457, 26824)
2022-10-14 13:03:07.285 *** Mouse movement (LeftButton) ***  Mouse coords: (842, 317) (35444, 26828)
2022-10-14 13:03:07.304 *** Mouse movement (LeftButton) ***  Mouse coords: (838, 318) (35450, 26826)
2022-10-14 13:03:07.361 *** Mouse movement (LeftButton) ***  Mouse coords: (837, 318) (35457, 26824)
2022-10-14 13:03:19.156 *** Mouse movement (LeftButton) ***  Mouse coords: (805, 326) (35382, 26840)
2022-10-14 13:03:19.277 *** Mouse movement (LeftButton) ***  Mouse coords: (805, 327) (35382, 26842)
2022-10-14 13:03:19.312 *** Mouse movement (LeftButton) ***  Mouse coords: (798, 336) (35365, 26862)
2022-10-14 13:03:19.359 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 345) (35378, 26861)
2022-10-14 13:03:19.379 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 352) (35382, 26857)
2022-10-14 13:03:19.398 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 356) (35382, 26849)
2022-10-14 13:03:19.418 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 357) (35382, 26843)
2022-10-14 13:03:19.438 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 358) (35382, 26842)
2022-10-14 13:03:19.460 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 359) (35382, 26843)
2022-10-14 13:03:19.488 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 359) (35382, 26840)
2022-10-14 13:03:19.530 *** Mouse movement (LeftButton) ***  Mouse coords: (796, 359) (35382, 26840)
2022-10-14 13:03:50.864 *** Mouse movement (LeftButton) ***  Mouse coords: (524, 381) (36582, 18531)
2022-10-14 13:03:50.960 *** Mouse movement (LeftButton) ***  Mouse coords: (523, 381) (36494, 18531)
2022-10-14 13:03:50.990 *** Mouse movement (LeftButton) ***  Mouse coords: (523, 367) (36582, 17301)
2022-10-14 13:03:51.014 *** Mouse movement (LeftButton) ***  Mouse coords: (523, 342) (36582, 16335)
2022-10-14 13:03:51.036 *** Mouse movement (LeftButton) ***  Mouse coords: (523, 326) (36582, 17126)
2022-10-14 13:03:51.056 *** Mouse movement (LeftButton) ***  Mouse coords: (523, 322) (36582, 18179)
2022-10-14 13:03:53.864 *** Mouse movement (LeftButton) ***  Mouse coords: (653, 307) (35075, 28220)
2022-10-14 13:03:53.935 *** Mouse movement (LeftButton) ***  Mouse coords: (653, 307) (35051, 28220)
2022-10-14 13:03:53.960 *** Mouse movement (LeftButton) ***  Mouse coords: (646, 318) (34884, 28482)
2022-10-14 13:03:54.010 *** Mouse movement (LeftButton) ***  Mouse coords: (624, 341) (34526, 28769)
2022-10-14 13:03:54.030 *** Mouse movement (LeftButton) ***  Mouse coords: (591, 381) (34264, 29174)
2022-10-14 13:03:54.051 *** Mouse movement (LeftButton) ***  Mouse coords: (575, 399) (34670, 28649)
2022-10-14 13:03:54.071 *** Mouse movement (LeftButton) ***  Mouse coords: (561, 415) (34717, 28601)
2022-10-14 13:03:54.097 *** Mouse movement (LeftButton) ***  Mouse coords: (556, 423) (34932, 28411)
2022-10-14 13:03:54.118 *** Mouse movement (LeftButton) ***  Mouse coords: (553, 427) (34979, 28316)
2022-10-14 13:03:54.137 *** Mouse movement (LeftButton) ***  Mouse coords: (553, 428) (35051, 28243)
2022-10-14 13:03:56.390 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 236) (35224, 27617)
2022-10-14 13:03:56.460 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 237) (35224, 27619)
2022-10-14 13:03:56.488 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 266) (35224, 27692)
2022-10-14 13:03:56.524 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 317) (35224, 27748)
2022-10-14 13:03:56.544 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 392) (35224, 27811)
2022-10-14 13:03:56.566 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 495) (35224, 27882)
2022-10-14 13:03:56.585 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 565) (35224, 27797)
2022-10-14 13:03:56.606 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 626) (35224, 27775)
2022-10-14 13:03:56.627 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 643) (35224, 27660)
2022-10-14 13:03:56.648 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 658) (35224, 27656)
2022-10-14 13:03:56.670 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 659) (35224, 27620)
2022-10-14 13:03:56.690 *** Mouse movement (LeftButton) ***  Mouse coords: (518, 659) (35224, 27617)
2022-10-14 13:04:02.588 *** Mouse movement (LeftButton) ***  Mouse coords: (502, 353) (35337, 27222)
2022-10-14 13:04:02.679 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 352) (35337, 27222)
2022-10-14 13:04:02.705 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 374) (35334, 27292)
2022-10-14 13:04:02.743 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 399) (35334, 27301)
2022-10-14 13:04:02.763 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 436) (35334, 27338)
2022-10-14 13:04:02.787 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 460) (35334, 27298)
2022-10-14 13:04:02.806 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 477) (35334, 27277)
2022-10-14 13:04:02.829 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 483) (35334, 27243)
2022-10-14 13:04:02.848 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 487) (35334, 27237)
2022-10-14 13:04:02.871 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 487) (35334, 27225)
2022-10-14 13:04:02.943 *** Mouse movement (LeftButton) ***  Mouse coords: (503, 487) (35334, 27225)
2022-10-14 13:04:25.969 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 394) (35262, 26985)
2022-10-14 13:04:26.004 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 404) (35262, 27002)
2022-10-14 13:04:26.027 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 413) (35262, 27017)
2022-10-14 13:04:26.046 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 417) (35262, 27024)
2022-10-14 13:04:26.064 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 423) (35262, 27034)
2022-10-14 13:04:26.081 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 429) (35262, 27045)
2022-10-14 13:04:26.099 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 434) (35262, 27053)
2022-10-14 13:04:26.117 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 439) (35262, 27062)
2022-10-14 13:04:26.134 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 443) (35262, 27069)
2022-10-14 13:04:26.151 *** Mouse movement (LeftButton) ***  Mouse coords: (456, 450) (35262, 27080)
2022-10-14 13:04:26.169 *** Mouse movement (LeftButton) ***  Mouse coords: (460, 463) (35269, 27103)
2022-10-14 13:04:26.186 *** Mouse movement (LeftButton) ***  Mouse coords: (464, 471) (35276, 27116)
2022-10-14 13:04:26.203 *** Mouse movement (LeftButton) ***  Mouse coords: (468, 479) (35282, 27130)
2022-10-14 13:04:26.220 *** Mouse movement (LeftButton) ***  Mouse coords: (470, 485) (35286, 27140)
2022-10-14 13:04:26.237 *** Mouse movement (LeftButton) ***  Mouse coords: (472, 488) (35289, 27145)
2022-10-14 13:04:26.254 *** Mouse movement (LeftButton) ***  Mouse coords: (473, 490) (35291, 27149)
2022-10-14 13:04:26.271 *** Mouse movement (LeftButton) ***  Mouse coords: (474, 491) (35293, 27150)
2022-10-14 13:04:26.289 *** Mouse movement (LeftButton) ***  Mouse coords: (476, 493) (35296, 27154)
2022-10-14 13:04:26.306 *** Mouse movement (LeftButton) ***  Mouse coords: (479, 497) (35301, 27161)
2022-10-14 13:04:26.323 *** Mouse movement (LeftButton) ***  Mouse coords: (483, 501) (35308, 27167)
2022-10-14 13:04:26.340 *** Mouse movement (LeftButton) ***  Mouse coords: (486, 505) (35313, 27174)
2022-10-14 13:04:26.357 *** Mouse movement (LeftButton) ***  Mouse coords: (488, 507) (35317, 27178)
2022-10-14 13:04:26.374 *** Mouse movement (LeftButton) ***  Mouse coords: (489, 508) (35318, 27179)
2022-10-14 13:04:26.392 *** Mouse movement (LeftButton) ***  Mouse coords: (490, 508) (35320, 27179)
2022-10-14 13:04:26.409 *** Mouse movement (LeftButton) ***  Mouse coords: (491, 509) (35322, 27181)
2022-10-14 13:04:26.426 *** Mouse movement (LeftButton) ***  Mouse coords: (495, 510) (35328, 27183)
2022-10-14 13:04:26.444 *** Mouse movement (LeftButton) ***  Mouse coords: (505, 513) (35346, 27188)
2022-10-14 13:04:26.460 *** Mouse movement (LeftButton) ***  Mouse coords: (507, 514) (35349, 27190)
