2022-11-07 14:53:27.625 *** Start program *** Start program
2022-11-07 14:53:42.812 *** Open case *** /Users/zhihuang/Desktop/S4325
2022-11-07 14:53:45.273 *** Open processed data
2022-11-07 14:53:45.273 *** Preload all statistics at once.
2022-11-07 14:53:46.455 *** Nuclei stat data loaded, took 1.18 seconds. Total number of nuclei: 793467
2022-11-07 14:53:50.941 *** Mouse movement (LeftButton) ***  Mouse coords: (550, 403) (53692, 32260)
2022-11-07 14:53:53.363 *** Mouse movement (LeftButton) ***  Mouse coords: (782, 336) (49060, 22573)
2022-11-07 14:53:53.465 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 336) (49073, 22573)
2022-11-07 14:53:53.504 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 353) (49060, 22784)
2022-11-07 14:53:53.532 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 376) (49060, 22859)
2022-11-07 14:53:53.558 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 387) (49060, 22709)
2022-11-07 14:53:53.580 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 426) (49060, 23058)
2022-11-07 14:53:53.604 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 444) (49060, 22797)
2022-11-07 14:53:53.626 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 449) (49060, 22635)
2022-11-07 14:53:53.648 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 451) (49060, 22598)
2022-11-07 14:53:53.690 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 451) (49060, 22573)
2022-11-07 14:53:53.719 *** Mouse movement (LeftButton) ***  Mouse coords: (783, 451) (49060, 22573)
2022-11-07 14:53:56.150 *** Mouse movement (LeftButton) ***  Mouse coords: (514, 386) (49194, 22933)
2022-11-07 14:53:56.231 *** Mouse movement (LeftButton) ***  Mouse coords: (514, 386) (49194, 22933)
2022-11-07 14:53:56.263 *** Mouse movement (LeftButton) ***  Mouse coords: (541, 390) (49421, 22967)
2022-11-07 14:53:56.287 *** Mouse movement (LeftButton) ***  Mouse coords: (575, 400) (49478, 23017)
2022-11-07 14:53:56.308 *** Mouse movement (LeftButton) ***  Mouse coords: (647, 428) (49797, 23167)
2022-11-07 14:53:56.329 *** Mouse movement (LeftButton) ***  Mouse coords: (699, 453) (49630, 23142)
